sample_id,class,strategy,iou,confidence,inference_time,bbox_area
7,ship,center_point,0.010062500493840817,0.9571383595466614,0.027872800827026367,3128
7,ship,bounding_box,0.729381443298969,0.7458571195602417,0.00896143913269043,3128
7,ship,multiple_points_3,0.010208621415258823,0.7594993114471436,0.009956598281860352,3128
7,ship,multiple_points_5,0.28409540123863486,0.5497169494628906,0.00896143913269043,3128
7,ship,multiple_points_10,0.2333302760708062,0.6650093197822571,0.00896453857421875,3128
7,ship,box_plus_center,0.6307578008915304,0.8024905920028687,0.009954214096069336,3128
7,ship,corners_plus_center,0.022602028591965497,0.7285494804382324,0.008962631225585938,3128
8,stadium,center_point,0.021696951910456765,0.7599111199378967,0.026883363723754883,33908
8,stadium,bounding_box,0.1770475227502528,0.7329688668251038,0.00797128677368164,33908
8,stadium,multiple_points_3,0.033786743003675096,0.7816286087036133,0.009958505630493164,33908
8,stadium,multiple_points_5,0.03320400219571835,0.8151569962501526,0.009951353073120117,33908
8,stadium,multiple_points_10,0.033973149104376626,0.7966256141662598,0.008958816528320312,33908
8,stadium,box_plus_center,0.181319817956144,0.8490956425666809,0.008959770202636719,33908
8,stadium,corners_plus_center,0.02203109931998692,0.9785134792327881,0.008967161178588867,33908
9,industrial,center_point,0.02564368477123382,0.8320215940475464,0.02688431739807129,8580
9,industrial,bounding_box,0.20446265938069216,0.41526469588279724,0.008962392807006836,8580
9,industrial,multiple_points_3,0.13129183771589187,0.6420243978500366,0.009958028793334961,8580
9,industrial,multiple_points_5,0.028460900801326332,0.6829541325569153,0.0089569091796875,8580
9,industrial,multiple_points_10,0.360425974661852,0.6744685769081116,0.00896453857421875,8580
9,industrial,box_plus_center,0.37765486725663716,0.7001444101333618,0.00895833969116211,8580
9,industrial,corners_plus_center,0.026489937327260696,0.7505449056625366,0.008959770202636719,8580
10,building,center_point,0.04581575053433441,0.9914634823799133,0.026929855346679688,9831
10,building,bounding_box,0.8856875584658559,0.7815099358558655,0.00796961784362793,9831
10,building,multiple_points_3,0.04611459697993518,0.8778921365737915,0.009947776794433594,9831
10,building,multiple_points_5,0.048532229038063354,0.7446602582931519,0.009964942932128906,9831
10,building,multiple_points_10,0.3317000496606522,0.7545928359031677,0.008960247039794922,9831
10,building,box_plus_center,0.877587437544611,0.823934018611908,0.008962869644165039,9831
10,building,corners_plus_center,0.047005243108755854,0.881932258605957,0.008960962295532227,9831
11,road,center_point,0.027820729791922856,0.943966269493103,0.02788066864013672,20605
11,road,bounding_box,0.30461073318216175,0.7749539017677307,0.007962465286254883,20605
11,road,multiple_points_3,0.02790078635038992,0.9016358852386475,0.008968830108642578,20605
11,road,multiple_points_5,0.03351832383932719,0.8208051323890686,0.008964061737060547,20605
11,road,multiple_points_10,0.06345929532872933,0.8408515453338623,0.008964300155639648,20605
11,road,box_plus_center,0.2884281785487624,0.7718244194984436,0.008959054946899414,20605
11,road,corners_plus_center,0.027824456296729257,0.9518070816993713,0.008955240249633789,20605
12,vehicle,center_point,0.005002555609663827,0.933740496635437,0.028825998306274414,1480
12,vehicle,bounding_box,0.6433747412008282,0.7044074535369873,0.00901937484741211,1480
12,vehicle,multiple_points_3,0.005189004153708072,0.8377326726913452,0.009969234466552734,1480
12,vehicle,multiple_points_5,0.007320420026030778,0.7274553775787354,0.008973360061645508,1480
12,vehicle,multiple_points_10,0.31260695949800343,0.6469607949256897,0.009966611862182617,1480
12,vehicle,box_plus_center,0.5316509837467921,0.7890200614929199,0.010951042175292969,1480
12,vehicle,corners_plus_center,0.007122066373303997,0.8016407489776611,0.010912656784057617,1480
13,vegetation,center_point,0.035386063873220075,0.7951450347900391,0.027879714965820312,33847
13,vegetation,bounding_box,0.27784236224133924,0.888912558555603,0.008962869644165039,33847
13,vegetation,multiple_points_3,0.062214344310324625,0.8554655313491821,0.009957551956176758,33847
13,vegetation,multiple_points_5,0.06383426702259654,0.9124177694320679,0.008954763412475586,33847
13,vegetation,multiple_points_10,0.13695867822353763,0.8666527271270752,0.008962392807006836,33847
13,vegetation,box_plus_center,0.2714276514907592,0.898294985294342,0.009961843490600586,33847
13,vegetation,corners_plus_center,0.0390051706878025,0.9249560832977295,0.009957313537597656,33847
14,water,center_point,0.06108317569604327,0.9855326414108276,0.026877641677856445,49062
14,water,bounding_box,0.29103143960286815,0.8103562593460083,0.008965730667114258,49062
14,water,multiple_points_3,0.06120188919577864,0.9410252571105957,0.009956121444702148,49062
14,water,multiple_points_5,0.06187410111738024,0.9195780158042908,0.009956836700439453,49062
14,water,multiple_points_10,0.06566076367854308,0.9187668561935425,0.008959770202636719,49062
14,water,box_plus_center,0.2900526870389884,0.8505344390869141,0.00896596908569336,49062
14,water,corners_plus_center,0.061048770903375106,0.9981942176818848,0.00896906852722168,49062
15,bridge,center_point,0.01668183331483742,0.995771050453186,0.027575016021728516,15700
15,bridge,bounding_box,0.22091449420349557,0.7111391425132751,0.008960485458374023,15700
15,bridge,multiple_points_3,0.017024785151560456,0.8784267902374268,0.009958028793334961,15700
15,bridge,multiple_points_5,0.024861403299858427,0.8706580996513367,0.009954214096069336,15700
15,bridge,multiple_points_10,0.05968677955322363,0.8110775947570801,0.008963584899902344,15700
15,bridge,box_plus_center,0.20317906574394465,0.7497317790985107,0.009963274002075195,15700
15,bridge,corners_plus_center,0.01902948608234633,0.8779619336128235,0.009953737258911133,15700
16,airport,center_point,0.07422648660441201,0.8808696269989014,0.026882648468017578,34272
16,airport,bounding_box,0.621246217118026,0.5641922950744629,0.008968591690063477,34272
16,airport,multiple_points_3,0.08842784901571248,0.969365656375885,0.00996088981628418,34272
16,airport,multiple_points_5,0.07473116893163825,0.9341944456100464,0.009955406188964844,34272
16,airport,multiple_points_10,0.12964597137259007,0.7714969515800476,0.00995779037475586,34272
16,airport,box_plus_center,0.5819196592494675,0.8190789818763733,0.008957147598266602,34272
16,airport,corners_plus_center,0.07431970463558048,0.9813588857650757,0.00896596908569336,34272
17,ship,center_point,0.008158079644427014,0.9196009635925293,0.02787613868713379,2448
17,ship,bounding_box,0.7934386391251519,0.7275388836860657,0.008960962295532227,2448
17,ship,multiple_points_3,0.008479443836980245,0.6678004860877991,0.009959697723388672,2448
17,ship,multiple_points_5,0.04386274423322895,0.5400421619415283,0.008957147598266602,2448
17,ship,multiple_points_10,0.43687872763419483,0.5681756138801575,0.008965015411376953,2448
17,ship,box_plus_center,0.7324770642201834,0.7853409051895142,0.00995779037475586,2448
17,ship,corners_plus_center,0.01558126807911813,0.7225008010864258,0.008956193923950195,2448
18,stadium,center_point,0.05487930170054329,0.6813161969184875,0.02688765525817871,50406
18,stadium,bounding_box,0.2608602066374452,0.8769749999046326,0.007966756820678711,50406
18,stadium,multiple_points_3,0.0556312358099523,0.8489362001419067,0.008965730667114258,50406
18,stadium,multiple_points_5,0.055558098027550226,0.918248176574707,0.009962320327758789,50406
18,stadium,multiple_points_10,0.09416577755481287,0.8687037229537964,0.008910417556762695,50406
18,stadium,box_plus_center,0.264075438805024,0.9113295078277588,0.009014129638671875,50406
18,stadium,corners_plus_center,0.05462384240322,0.9870474934577942,0.007965564727783203,50406
19,industrial,center_point,0.043387683917069333,0.7892520427703857,0.0268857479095459,9775
19,industrial,bounding_box,0.8541686382133056,0.741356611251831,0.00796651840209961,9775
19,industrial,multiple_points_3,0.04408989459262369,0.8810367584228516,0.008962869644165039,9775
19,industrial,multiple_points_5,0.05057900180494433,0.8663442730903625,0.008965492248535156,9775
19,industrial,multiple_points_10,0.11659245234505569,0.8250638842582703,0.00896143913269043,9775
19,industrial,box_plus_center,0.8697387173396675,0.7827435731887817,0.008959293365478516,9775
19,industrial,corners_plus_center,0.04635795441343898,0.9011307954788208,0.00895833969116211,9775
