image_id,image_name,strategy,iou,confidence,mask_type
18,P0114.png,multi_point,0.33434379910679807,0.787325382232666,synthetic
19,P0115.png,center,0.002677478148505446,0.6306885480880737,synthetic
19,P0115.png,bbox,0.0998078773123108,0.7552375793457031,synthetic
19,P0115.png,multi_point,0.3163003673160756,0.8757281303405762,synthetic
20,P0118.png,center,0.4215924901938779,0.9619032144546509,synthetic
20,P0118.png,bbox,0.5000810175807925,0.6930894255638123,synthetic
20,P0118.png,multi_point,0.3717702848774288,0.763896107673645,synthetic
21,P0125.png,center,0.2605897960177175,0.9414748549461365,synthetic
21,P0125.png,bbox,0.3146590798668089,0.5015676021575928,synthetic
21,P0125.png,multi_point,0.29000099592567574,0.8532366752624512,synthetic
22,P0135.png,center,0.07307998228971924,0.9598760604858398,synthetic
22,P0135.png,bbox,0.14880161743443748,0.7970433235168457,synthetic
22,P0135.png,multi_point,0.3711125718219643,0.8366835117340088,synthetic
23,P0145.png,center,0.3622035771704089,0.9292052984237671,synthetic
23,P0145.png,bbox,0.41411277771700933,0.9260013103485107,synthetic
23,P0145.png,multi_point,0.2631957234625555,0.7145529389381409,synthetic
24,P0148.png,center,0.002688437989261909,0.7345162630081177,synthetic
24,P0148.png,bbox,0.13392109841538324,0.7183190584182739,synthetic
24,P0148.png,multi_point,0.2975403267986453,0.7699283361434937,synthetic
25,P0154.png,center,0.022018139702035575,0.7416166067123413,synthetic
25,P0154.png,bbox,0.09861391908072745,0.47308680415153503,synthetic
25,P0154.png,multi_point,0.38601537227763116,0.5868526697158813,synthetic
26,P0157.png,center,0.12948088836528682,0.9310104846954346,synthetic
26,P0157.png,bbox,0.07961017740429273,0.31089121103286743,synthetic
26,P0157.png,multi_point,0.29265953220612784,0.9751594066619873,synthetic
27,P0166.png,center,0.002224097400956668,0.869633674621582,synthetic
27,P0166.png,bbox,0.08944457468438215,0.3867688477039337,synthetic
27,P0166.png,multi_point,0.2612836244840268,0.7299191355705261,synthetic
28,P0180.png,center,0.23083624509371195,0.7322971820831299,synthetic
28,P0180.png,bbox,0.2767094656746,0.8563815355300903,synthetic
28,P0180.png,multi_point,0.1864825357207926,0.8771610260009766,synthetic
29,P0181.png,center,0.003678085453645935,0.7718881964683533,synthetic
29,P0181.png,bbox,0.45709701116568113,0.6020042896270752,synthetic
29,P0181.png,multi_point,0.3125846344492693,0.9394119381904602,synthetic
